Card                            Price StdDev Average  High    Low   Change Raw N
----                            ----- ------ ------- ------- ------ ------ -----
AErathi Berserker,               0.75,  0.00,   0.75,   0.75,   0.75,  0.00,   1
AEther Barrier,                  0.45,  0.36,   0.45,   0.99,   0.01,  0.00,   4
AEther Burst,                    0.42,  0.12,   0.42,   0.50,   0.25, -0.00,   3
AEther Charge,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
AEther Figment,                  0.26,  0.13,   0.26,   0.56,   0.03, -0.00,  17
AEther Flash (6th),              0.53,  0.18,   0.53,   0.71,   0.36,  0.00,   2
AEther Flash (7th),              0.38,  0.14,   0.38,   0.56,   0.20, -0.00,   6
AEther Flash (WL),               0.37,  0.00,   0.37,   0.37,   0.37,  0.00,   1
AEther Membrane,                 0.29,  0.05,   0.29,   0.37,   0.25,  0.00,   4
AEther Mutation,                 0.28,  0.03,   0.28,   0.31,   0.25,  0.00,   2
AEther Rift,                     0.83,  0.26,   0.83,   1.09,   0.56, -0.00,   2
AEther Snap,                     0.86,  0.31,   0.86,   1.25,   0.25,  0.00,   7
AEther Spellbomb,                0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
AEther Sting,                    0.29,  0.00,   0.29,   0.29,   0.29,  0.00,   1
AEther Storm (5th),              0.25,  0.38,   0.25,   0.99,   0.01,  0.00,   5
AEther Storm (HL),               0.28,  0.03,   0.28,   0.31,   0.25,  0.00,   2
AEther Tide,                     0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
AEther Vial,                     6.01,  1.66,   5.96,   9.50,   0.25, -0.02,  68
AEther Web,                      0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
AEtherflame Wall,                0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
AEthermage's Touch,              0.54,  0.30,   0.54,   1.00,   0.25,  0.00,   9
AEtherplasm,                     0.29,  0.03,   0.29,   0.33,   0.25, -0.00,   4
AEthersnipe,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEthertow,                       0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abandon Hope,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abandoned Outpost,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abbey Gargoyles (5th),           0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
Abbey Gargoyles (HL),            0.19,  0.06,   0.19,   0.25,   0.12, -0.00,   2
Abbey Matron,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Abduction (6th),                 0.50,  0.35,   0.50,   1.00,   0.25,  0.00,   3
Abduction (WL),                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abeyance,                        2.38,  1.75,   2.88,   6.00,   0.67, -0.17,  22
Abjure,                          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abolish,                         0.41,  0.16,   0.41,   0.56,   0.25, -0.00,   2
Abomination,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abomination (LE),                1.07,  0.07,   1.07,   1.14,   0.99, -0.00,   2
Aboroth,                         0.49,  0.00,   0.49,   0.49,   0.49,  0.00,   1
Aboshan's Desire,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Aboshan, Cephalid Emperor,       0.61,  0.28,   0.61,   1.00,   0.33,  0.00,   3
About Face,                      0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Absolute Grace,                  0.35,  0.14,   0.35,   0.55,   0.25,  0.00,   3
Absolute Law,                    0.69,  0.20,   0.69,   0.97,   0.55,  0.00,   3
Absolver Thrull,                 0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Absorb,                          2.25,  1.50,   2.80,   6.35,   0.99, -0.00,  22
Absorb Vis,                      0.29,  0.06,   0.29,   0.38,   0.25,  0.00,   3
Abu Ja'far (AN),                 4.60,  0.81,   4.06,   4.95,   2.99,  0.00,   3
Abu Ja'far (CH),                 2.41,  0.82,   2.41,   3.24,   1.59,  0.00,   2
Abuna's Chant,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abundance,                       0.57,  0.54,   0.74,   2.04,   0.25, -0.03,  17
Abundance (UZ),                  1.24,  0.09,   1.24,   1.33,   1.15,  0.00,   2
Abyssal Gatekeeper,              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Horror (7th),            0.49,  0.01,   0.49,   0.50,   0.48,  0.00,   3
Abyssal Horror (UZ),             0.50,  0.26,   0.50,   0.99,   0.33, -0.00,   5
Abyssal Hunter (6th),            0.81,  0.22,   0.81,   1.00,   0.50,  0.00,   3
Abyssal Hunter (MI),             0.62,  0.28,   0.62,   0.90,   0.33, -0.00,   2
Abyssal Nightstalker,            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Nocturnus,               0.70,  0.33,   0.70,   1.10,   0.25,  0.00,  11
Abyssal Specter (5th),           0.54,  0.33,   0.54,   1.00,   0.25, -0.00,   3
Abyssal Specter (6th),           0.68,  0.32,   0.68,   1.00,   0.36,  0.00,   2
Abyssal Specter (7th),           0.31,  0.05,   0.31,   0.36,   0.25, -0.00,   2
Abyssal Specter (8th),           0.41,  0.28,   0.41,   1.00,   0.15, -0.00,   6
Abyssal Specter (IA),            0.50,  0.35,   0.50,   1.00,   0.25, -0.12,   3
Academy Rector,                  3.52,  1.64,   3.54,   7.47,   0.99,  0.00,  36
Academy Researchers (10th),      0.52,  0.31,   0.52,   0.99,   0.25, -0.00,   6
Academy Researchers (UZ),        0.47,  0.00,   0.47,   0.47,   0.47,  0.00,   1
Academy Ruins,                   2.05,  0.84,   2.07,   4.87,   0.01,  0.01,  39
Accelerate,                      0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Accelerated Mutation,            0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Acceptable Losses,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Accumulated Knowledge (DCI),     0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
Accumulated Knowledge (NE),      0.42,  0.32,   0.42,   1.00,   0.06,  0.00,  18
Accursed Centaur,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acid Rain,                       5.45,  5.66,   7.01,  14.58,   0.99,  0.00,   3
Acidic Dagger,                   0.09,  0.14,   0.09,   0.33,   0.01,  0.00,   4
Acidic Slime,                    0.34,  0.19,   0.34,   0.99,   0.25, -0.01,  15
Acidic Sliver,                   0.50,  0.39,   0.50,   1.25,   0.12,  0.00,  14
Acidic Soil,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
